product_id,seller_id,category_id,country_id,condition_id,product_name,product_price,shipping_fee,page_number,category_id,category,condition_id,product_condition,seller_id,seller_name,seller_feedback_score,country_id,origin_country
108,108,1,14,2,Apple iPhone XR 64/128/256GB Unlocked Smartphone - 12 Month Warranty All Grades,1256.67,95.7,1,1,Cell Phones & Accessories,2,Seller refurbished,108,handtec,127396,14,United Kingdom
109,89,1,14,2,Apple iPhone 11 64GB Unlocked 12 MONTH WARRANTY PURPLE Grade A Refurbished,1979.4,115.08,1,1,Cell Phones & Accessories,2,Seller refurbished,89,hotzomma,26,14,United Kingdom
110,110,1,14,1,New Apple iPhone 12 Pro Max Dual Sim 5G 128GB Graphite Mobile SmartPhone A2411,4833.44,165.4,2,1,Cell Phones & Accessories,1,New,110,lizardtechsolutions,71262,14,United Kingdom
111,1,1,1,1,Apple iPhone 12 - 128gb - Unlocked - Factory Sealed - Factory Warranty,3160.84,133.83,2,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
112,112,1,15,1,smartphone apple iphone 12 pro max 256gb,1367.06,35.25,2,1,Cell Phones & Accessories,1,New,112,gislisa17,0,15,Philippines
113,113,1,1,77,Apple iPhone 12 Mini - 64gb - Unlocked - Blue,2164.96,148.45,2,1,Cell Phones & Accessories,77,Open box,113,winning777,58,1,United States
114,114,1,15,1,apple iPhone 12 pro max 256gb,1445.4,47.0,2,1,Cell Phones & Accessories,1,New,114,genyc90,0,15,Philippines
115,115,1,115,1,Apple iPhone 12 Pro Max - 256GB - Graphite (Unlocked) Brand New Sealed,3925.12,75.97,2,1,Cell Phones & Accessories,1,New,115,hlanhyu2,10,115,Australia
116,116,1,1,77,Apple iPhone 12 - 64GB - Black (Unlocked),1798.58,141.09,2,1,Cell Phones & Accessories,77,Open box,116,lther74,291,1,United States
117,117,1,14,1,APPLE iPhone 12 Mini - 128 GB - Pacific Blue - (Sealed/Unlocked),2439.78,144.82,2,1,Cell Phones & Accessories,1,New,117,gof285,743,14,United Kingdom
118,73,1,1,77,NEW*  Apple iPhone 12 Mini 64GB | Unlocked Verizon AT&T T-Mobile Cricket Metro,2198.23,120.8,2,1,Cell Phones & Accessories,77,Open box,73,adopt-a-phone,10093,1,United States
119,37,1,1,2,Apple iPhone 11 128GB 64GB - Factory Unlocked T-Mobile Verizon Sprint AT&T,1595.41,103.92,2,1,Cell Phones & Accessories,2,Seller refurbished,37,take2auction1,3606,1,United States
120,120,1,14,1,Apple iPhone 12 - 256GB - Blue (Unlocked) iPhone Not Included,451.13,92.07,2,1,Cell Phones & Accessories,1,New,120,n3rdbuy,80,14,United Kingdom
121,31,1,1,8,Apple iPhone 12 Pro Max - 128GB - Graphite UNLOCKED  A2342,3317.38,206.97,2,1,Cell Phones & Accessories,8,Used,31,discounts_from_hundul,9886,1,United States
122,122,1,122,8,Apple iPhone 12 Pro - 256GB - Pacific Blue (Unlocked),2831.1,116.57,2,1,Cell Phones & Accessories,8,Used,122,eridsal0,4,122,Canada
123,123,1,15,1,Apple iPhone 12 - 128GB - Negro (Desbloqueado),1041.94,19.59,2,1,Cell Phones & Accessories,1,New,123,nondo-78,0,15,Philippines
124,124,1,15,1,Apple iPhone 12 Pro Max - 256GB - Grafite NUOVO,1511.99,23.5,2,1,Cell Phones & Accessories,1,New,124,abbly_7,0,15,Philippines
125,125,1,14,1,Apple iPhone 12 Pro - 128GB - Pacific Blue (EE) UK Blacklisted Only Part Or Spar,3130.29,152.14,2,1,Cell Phones & Accessories,1,New,125,smartfixtech,309,14,United Kingdom
126,126,1,1,1,Apple iPhone 12 Pro Max - 256GB - Graphite (Unlocked) brand new (unopened),3996.84,219.96,2,1,Cell Phones & Accessories,1,New,126,armanhak-123,33,1,United States
127,127,1,14,1,Apple iPhone 12 Pro Max - 256GB - Gold (EE),2946.15,78.26,2,1,Cell Phones & Accessories,1,New,127,baflo-8779,3,14,United Kingdom
128,128,1,14,1,Apple iPhone 12 Pro 256GB Graphite SEALED + APPLE WARRANTY,3314.42,188.37,2,1,Cell Phones & Accessories,1,New,128,suzyannah,132,14,United Kingdom
129,129,1,15,1,Apple Iphone 12 pro max 512gb Pacific Blue Nuevo Precintado New Sealed,1406.23,0.0,2,1,Cell Phones & Accessories,1,New,129,deesi_8549,0,15,Philippines
130,130,1,122,1,BRAND NEW Unlocked Apple iPhone 12 Pro Max - 256GB - Graphite (Unlocked),2848.0,158.96,2,1,Cell Phones & Accessories,1,New,130,nadan_3755,1,122,Canada
131,131,1,15,1,Apple iPhone 12 mini - 256 Go - Noir (Déverrouillé),1276.97,0.0,2,1,Cell Phones & Accessories,1,New,131,juscr_45,0,15,Philippines
132,132,1,5,1,Apple iPhone 12 Pro Max - 256 Go - Or (Déverrouillé),1410.15,39.17,2,1,Cell Phones & Accessories,1,New,132,toar6052,0,5,Ukraine
133,133,1,15,1,Apple iPhone 12 256GB Pacific Blue (Unlocked) SEALED BNIB- UNNECESSARY UPGRADE,1560.54,23.02,2,1,Cell Phones & Accessories,1,New,133,katpros72,0,15,Philippines
134,134,1,15,1,Apple iPhone 12 Pro Max 256 GB argento nuovo,1316.14,0.0,2,1,Cell Phones & Accessories,1,New,134,roasm_7,0,15,Philippines
135,135,1,115,1,"iPhone 12 Brand New, Sealed Unopened Box",2595.64,126.11,2,1,Cell Phones & Accessories,1,New,135,atri.ric.yaeaz1,62,115,Australia
136,136,1,15,1,Apple iPhone 12 Pro Max - 256 Go - Graphite (Déverrouillé),1562.91,54.84,2,1,Cell Phones & Accessories,1,New,136,bartohea_0,0,15,Philippines
137,137,1,137,1,Iphone 12 pro 256gb unlocked - new,3064.25,83.27,2,1,Cell Phones & Accessories,1,New,137,vagong59,20,137,Georgia
138,138,1,14,1,APPLE iPHONE 12 PRO MAX 256GB 5G GRAPHITE FACTORY UNLOCKED TO ANY NETWORK,4143.07,208.53,2,1,Cell Phones & Accessories,1,New,138,jackdanielsno.7,657,14,United Kingdom
139,139,1,15,1,Apple iPhone 12 Pro Max - 512 Go - Graphite (Déverrouillé),1441.48,39.17,2,1,Cell Phones & Accessories,1,New,139,lysku-17,0,15,Philippines
140,140,1,14,1,Apple iPhone 12 PRO 128GB Graphite  (Vodafone),3935.88,166.78,2,1,Cell Phones & Accessories,1,New,140,irmantasster,998,14,United Kingdom
141,141,1,1,8,Apple iPhone 12 Mini - 64GB - White (AT&T Only),1698.66,101.79,2,1,Cell Phones & Accessories,8,Used,141,direct_surplus,1689,1,United States
142,142,1,15,1,Apple iPhone 12 Pro Max - 512 Go - Argent (Déverrouillé),1841.02,78.34,2,1,Cell Phones & Accessories,1,New,142,demarcobr0,0,15,Philippines
